Meter,Northing,Easting,Elevation,Desc,Desc2,soil_pos,soil_desc,rise,slope_dist,slope_percent,hd_calc,hd
118,5438341.354,489619.306,0.124,,d: eleopal,,,-0.011,2,-0.0055,1.999969751,117.9197328
120,5438341.269,489621.317,0.176,,d: eleopal,0.176,c4,0.052,2,0.026,1.999324343,119.9190571
122,5438341.084,489623.274,0.217,,d: eleopal,,,0.041,2,0.0205,1.999579882,121.918637
124,5438340.945,489625.253,0.227,d: eleopal / i: schotab,d: eleopal / i: schotab,,,0.01,2,0.005,1.999975,123.918612
126,5438340.783,489627.282,0.2,d: eleopal / i: schotab,d: eleopal / i: schotab,,,-0.027,2,-0.0135,1.999817775,125.9184298
128,5438340.637,489629.269,0.138,,d: eleopal,,,-0.062,2,-0.031,1.999039692,127.9174695
130,5438340.501,489631.276,0.106,,d: eleopal,,,-0.032,2,-0.016,1.999744049,129.9172135
132,5438340.36,489633.236,0.175,,d: eleopal,,,0.069,2,0.0345,1.998810811,131.9160243
134,5438340.216,489635.227,0.223,,d: eleopal,,,0.048,2,0.024,1.999424249,133.9154486
136,5438340.059,489637.239,0.218,,d: eleopal,,,-0.005,2,-0.0025,1.99999375,135.9154423
138,5438339.94,489639.219,0.195,d: eleopal / i: schotab,d: eleopal / i: schotab,,,-0.023,2,-0.0115,1.999867763,137.9153101
140,5438339.801,489641.207,0.192,,d: eleopal,,,-0.003,2,-0.0015,1.99999775,139.9153078
142,5438339.648,489643.234,0.186,,d: eleopal,,,-0.006,2,-0.003,1.999991,141.9152988
144,5438339.509,489645.212,0.17,,d: eleopal,,,-0.016,2,-0.008,1.999936003,143.9152348
146,5438339.385,489647.209,0.194,,d: eleopal,,,0.024,2,0.012,1.999856016,145.9150909
148,5438339.158,489649.184,0.173,,d: eleopal,,,-0.021,2,-0.0105,1.999889759,147.9149806
150,5438339.067,489651.194,0.223,,d: eleopal,,,0.05,2,0.025,1.999375293,149.9143559
152,5438338.913,489653.118,0.301,,d: eleopal,,,0.078,2,0.039,1.998480733,151.9128366
154,5438338.86,489655.176,0.248,d: eleopal / i: schotab,d: eleopal / i: schotab,,,-0.053,2,-0.0265,1.99929812,153.9121348
156,5438338.829,489657.136,0.231,,d: eleopal,,,-0.017,2,-0.0085,1.999927754,155.9120625
158,5438338.73,489659.17,0.276,,d: eleopal,,,0.045,2,0.0225,1.999493942,157.9115565
160,5438338.697,489661.149,0.24,,d: eleopal,0.24,c5,-0.036,2,-0.018,1.999676079,159.9112325
162,5438338.584,489663.185,0.209,d: eleopal / i: schotab,d: eleopal / i: schotab,,,-0.031,2,-0.0155,1.999759793,161.9109923
164,5438338.527,489665.153,0.241,d: eleopal,d: eleopal,,,0.032,2,0.016,1.999744049,163.9107364
166,5438338.469,489667.157,0.143,d: eleopal / i: schotab,d: eleopal / i: schotab,,,-0.098,2,-0.049,1.997603315,165.9083397
168,5438338.402,489669.195,0.13,,d: eleopal,,,-0.013,2,-0.0065,1.999957751,167.9082974
170,5438338.387,489671.193,0.186,,d: eleopal,,,0.056,2,0.028,1.999216461,169.9075139
172,5438338.28,489673.161,0.339,,d: eleopal,,,0.153,2,0.0765,1.994173312,171.9016872
174,5438338.199,489675.195,0.367,,d: eleopal,,,0.028,2,0.014,1.999804029,173.9014912
176,5438338.131,489677.178,0.298,,d: eleopal,,,-0.069,2,-0.0345,1.998810811,175.9003021
178,5438338.088,489679.116,0.175,,d: eleopal,,,-0.123,2,-0.0615,1.996228445,177.8965305
180,5438338.048,489681.175,0.195,,d: eleopal,,,0.02,2,0.01,1.999900007,179.8964305
182,5438337.981,489683.131,-0.084,s: eleopal,s: eleopal,,,-0.279,2,-0.1395,1.980819247,181.8772498
184,5438337.901,489685.156,0.045,d: eleopal,d: eleopal,,,0.129,2,0.0645,1.995852686,183.8731024
186,5438337.859,489687.113,-0.008,s: eleopal,s: eleopal,,,-0.053,2,-0.0265,1.99929812,185.8724006
188,5438337.824,489689.12,0.069,i: eleopal,i: eleopal,,,0.077,2,0.0385,1.998519396,187.87092
190,5438337.752,489691.092,0.009,,s: eleopal,,,-0.06,2,-0.03,1.999100607,189.8700206
192,5438337.717,489693.063,-0.105,,s: eleopal,,,-0.114,2,-0.057,1.996758896,191.8667795
194,5438337.665,489694.951,-0.305,i: eleopal,i: eleopal,,,-0.2,2,-0.1,1.99007438,193.8568538
196,5438337.643,489696.951,-0.292,i: eleopal-schotab,i: eleopal-schotab,,,0.013,2,0.0065,1.999957751,195.8568116
198,5438337.557,489698.921,-0.355,,i: eleopal,,,-0.063,2,-0.0315,1.999008488,197.8558201
200,5438337.468,489700.9,-0.433,,i: eleopal,-0.433,c6,-0.078,2,-0.039,1.998480733,199.8543008
202,5438337.335,489702.886,-0.451,i: eleopal-schotab,i: eleopal-schotab,,,-0.018,2,-0.009,1.999919005,201.8542198
204,5438337.164,489704.991,-0.534,i: eleopal-schotab,i: eleopal-schotab,,,-0.083,2,-0.0415,1.998279971,203.8524998
206,5438337.109,489706.957,-0.591,i: schotab,i: schotab,,,-0.057,2,-0.0285,1.999188244,205.851688
208,5438337.026,489708.995,-0.641,,i: eleopal,,,-0.05,2,-0.025,1.999375293,207.8510633
210,5438336.964,489710.964,-0.663,,i: eleopal,,,-0.022,2,-0.011,1.999879011,209.8509423
212,5438336.892,489712.954,-0.673,,i: eleopal,,,-0.01,2,-0.005,1.999975,211.8509173
214,5438336.814,489714.971,-0.697,,i: eleopal,,,-0.024,2,-0.012,1.999856016,213.8507734
