Transect,Meter,Horizons,Total_Depth,Root_Zone,Root_abundance,Salinity,H1_Depth,H1_Texture,H2_Depth,H2_Texture,H3_Depth,H3_Texture,H4_Depth,H4_Texture,Notes
Richmond North,0,1,19.5,N/A,,0,19.5,Clay Loam,,,,,,,
Richmond North,6,1,19,N/A,,1,19,Clay Loam,,,,,,,"Worms present, organic detritus throughout"
Richmond North,12,3,18,N/A,,N/A,2,Clay Loam,14,Loamy Sand,18,Clay Loam,,,"Mottles present in H1, H2 + H3 contained heavy organics"
Richmond North,18,1,20,20,"P-VF,F-F,F-M",1,20,Silty Clay,,,,,,,Mottles present
Richmond No. 7 Road,0,1,18,N/A,,2,18,Silty Clay,,,,,,,Mottles present
Richmond No. 7 Road,6,2,17,9,F-VF,1,15,Silty Clay,17,Loamy Sand,,,,,"Mottles present, worms present "
Richmond No. 7 Road,12,1,17,17,"P-VF,F-F,F-M",N/A,17,Silty Clay,,,,,,,
Richmond No. 7 Road,18,2,17,7,"P-VF,F-F",2,2,Silty Clay,17,Silty Clay,,,,,"Roots concentrated in H1, slight colour difference"
Richmond No. 7 Road,24,1,15,8,"P-VF,F-F",N/A,15,Silty Clay,,,,,,,"Mottles present, worms present"
Richmond No. 7 Road,30,1,16,2,F-VF,0,16,Silty Clay,,,,,,,"Mottles present throughout, worms present"
Richmond No. 7 Road,36,2,17,3,F-VF,N/A,15,Silty Clay,17,Sandy Loam,,,,,Mottles present throughout
Canoe Pass,0,3,15,N/A,N/A,N/A,3,Silty Sand,11,Silty Sand,15,loamy sand,,,mottles present throughout; gley in H2
Canoe Pass,50,1,18,18,"P-F, P-VF",N/A,18,Loam,,,,,,,
Canoe Pass,100,1,20,20,"P-VF, F-F",N/A,20,Sandy Clay Loam,,,,,,,black organics throughout
Canoe Pass,150,1,17,17,"P-VF, P-F",N/A,17,Clay Loam,,,,,,,sparse mottles
Canoe Pass,2,1,21,4,F-VF,4,21,Silt Loam,,,,,,,"mottles throughout, salinity taken from channel"
Canoe Pass,8,1,20,20,"P-VF, F-M",N/A,20,Silt Clay Loam,,,,,,,"few, light mottles throughout"
Canoe Pass,14,1,18,18,"P-VF, F-M",2-3,18,Silt Clay Loam,,,,,,,
Canoe Pass,20,1,19,19,"P-VF, P-F, F-M",N/A,19,Silt Clay Loam,,,,,,,
Canoe Pass,26,1,21,21,"P-VF, F-F, F-M",N/A,21,Silt Clay Loam,,,,,,,mottles throughout 
Canoe Pass,32,1,22,22,"P-VF, F-F, F-M, F-C",N/A,22,Silt Clay Loam,,,,,,,"mottles throughout, wood debris at ~ 5 cm"
Sapperton,0,1,15,N/A,,N/A,15,Sandy Loam,,,,,,,"*note first few cores of this transect are shorter, suspected sand layer beneath could not be penetrated. Cores taken until depth of refusal. "
Sapperton,14,1,13.5,N/A,,N/A,13.5,Sandy Loam,,,,,,,
Sapperton,28,1,17,N/A,,N/A,17,Sandy Clay Loam,,,,,,,Large wood chips at ~2cm and 11cm
Sapperton,42,2,18,2.5,P-VF,0,12,Silt Clay Loam,18,Silt Loam,,,,,mottles throughout H1
Sapperton,66,1,18,18,"P-VF, F-F",0,18,Silt Clay Loam,,,,,,,mottles throughout core 
Sapperton,74,1,20,20,"P-VF, F-F, F-C",0,20,Silt Clay Loam,,,,,,,"mottles throughout, wood chip at 14.5 cm"
Sapperton,0,1,13,N/A,,N/A,13,Sandy Loam,,,,,,,"thin layers of mottling at 0, 6, 10, 13 cm"
Sapperton,12,1,18.5,N/A,,N/A,18.5,Loam,,,,,,,
Sapperton,24,1,19,N/A,,N/A,19,Loam,,,,,,,mottles throughout core
Sapperton,36,4,15.5,4,"F-VF, F-F",N/A,2,Sandy Loam,4,Loamy sand,5.5,Loamy sand,15.5,Loamy sand,"*faint mottles throughout, mainly in H3 and H1"
Sapperton,48,3,16.5,16.5,"F-VF, F-F",N/A,5,Sandy Loam,10.5,Loamy sand,16.5,Loamy sand,,,"*mottles throughout, mainly in H2 and H1"
Sapperton,60,1,18,18,"P-VF, F-F",N/A,18,Sandy Loam,,,,,,,*mottles throughout 
South Arm Marshes West 1,0,1,15,N/A,,4,15,Silt Clay Loam,,,,,,,"dense mottle layer at 11cm, salinity from channel"
South Arm Marshes West 1,40,1,16,16,"P-VF, P-F, F-M",5,16,Silt Clay Loam,,,,,,,mottles throughout
South Arm Marshes West 1,80,1,18,18,"P-VF, P-F, F-M",5,18,Silt Clay Loam,,,,,,,mottles throughout
South Arm Marshes West 1,120,2,19,19,"P-VF, P-F, F-M",5,15,Silt Clay Loam,19,Sandy Clay Loam,,,,,"mottles throughout, gley in H2"
South Arm Marshes West 1,160,1,17,17,"P-VF, F-F, F-M",5,17,Sandy Loam,,,,,,,Dense black organic deposit 11-17cm
South Arm Marshes West 1,200,1,17,N/A,,5,17,Silty sand,,,,,,,Mottles present 0-2 cm
South Arm Marshes West 2,0,1,18.5,N/A,,5,18.5,Loamy sand,,,,,,,
South Arm Marshes West 2,14,1,18,18,"P-VF, P-F, F-M",5,18,Sandy Loam,,,,,,,Mottles throughout
South Arm Marshes West 2,28,1,19,18,"P-VF, P-F",4,19,Silt Loam,,,,,,,Mottles throughout
South Arm Marshes West 2,42,1,19,19,"P-VF, P-F",2,19,Silt Clay Loam,,,,,,,Mottles throughout
South Arm Marshes West 2,56,1,17,17,"P-VF, F-F, P-M",4,17,Silt Clay Loam,,,,,,,Very dense roots
South Arm Marshes West 2,70,2,18,18,"P-VF, F-F",N/A,4,Wood debris/litter,18,Silt Clay Loam,,,,,H2 contains heavy black organics
Frenchies Island 1,0,4,18,N/A,,3,10,Loamy sand,14,Sand,15,Loamy sand,18,Sand,
Frenchies Island 1,16,1,19,19,"P-VF, F-F",4,19,Silt loam,,,,,,,Black deposit at ~10 cm
Frenchies Island 1,32,1,22,22,"P-VF, P-F, F-M, F-C",3,22,Silt clay loam,,,,,,,
Frenchies Island 1,48,1,20,20,"P-VF, F-F, F-M",N/A,20,Silt clay loam,,,,,,,Mottles throughout
Frenchies Island 1,64,2,22,22,"P-VF, P-F, F-M",2,14,Silt clay loam,22,Silty clay,,,,,Mottles throughout
Frenchies Island 1,80,1,22,22,"P-VF, F-F, F-M",5,22,Silty clay,,,,,,,Mottles throughout
Frenchies Island 2,0,1,18.5,N/A,,3,18.5,Sandy loam,,,,,,,"Organics at 11 cm, mottles in upper 5 cm"
Frenchies Island 2,14,2,21,21,"P-VF, P-F, F-M",N/A,9,Silt clay loam,21,Silt clay loam,,,,,Mottles throughout
Frenchies Island 2,28,2,19.5,19.5,"P-VF, F-F, F-M",N/A,8,Silt clay loam,19.5,Silt clay loam,,,,,Mottles throughout
Frenchies Island 2,42,1,20,20,"P-VF, F-F, F-C",N/A,20,Silt clay loam,,,,,,,Mottles throughout
Frenchies Island 2,56,2,19,19,"P-VF, F-F, F-C",N/A,3.5,Silt loam,19,Silt clay loam,,,,,Mottles throughout
Frenchies Island 2,70,1,20,20,"P-VF, P-F, F-M",N/A,20,Silt clay loam,,,,,,,Mottles throughout
